"","date","open","high","low","close"
"1",2021-05-16 20:00:00,1.21437,1.21513,1.2141,1.21501
"2",2021-05-17 00:00:00,1.215,1.215,1.21293,1.21317
"3",2021-05-17 04:00:00,1.21318,1.21464,1.21263,1.21358
"4",2021-05-17 08:00:00,1.21357,1.21689,1.21337,1.21468
"5",2021-05-17 12:00:00,1.21467,1.21568,1.21347,1.21547
"6",2021-05-17 16:00:00,1.21548,1.21616,1.2152,1.2158
"7",2021-05-17 20:00:00,1.2158,1.2159,1.21515,1.21565
"8",2021-05-18 00:00:00,1.21564,1.21694,1.21537,1.21677
"9",2021-05-18 04:00:00,1.21676,1.22056,1.21632,1.22026
"10",2021-05-18 08:00:00,1.22025,1.22236,1.21999,1.22178
"11",2021-05-18 12:00:00,1.22179,1.22341,1.21982,1.22022
"12",2021-05-18 16:00:00,1.22021,1.22304,1.2201,1.22267
"13",2021-05-18 20:00:00,1.22266,1.22277,1.22216,1.22225
"14",2021-05-19 00:00:00,1.22226,1.22329,1.22175,1.22298
"15",2021-05-19 04:00:00,1.22299,1.22452,1.22165,1.22213
"16",2021-05-19 08:00:00,1.22214,1.22264,1.2189,1.22069
"17",2021-05-19 12:00:00,1.2207,1.22388,1.22028,1.22158
"18",2021-05-19 16:00:00,1.22159,1.2221,1.216,1.21735
"19",2021-05-19 20:00:00,1.21734,1.21797,1.21695,1.21707
"20",2021-05-20 00:00:00,1.21706,1.21852,1.21691,1.21822
"21",2021-05-20 04:00:00,1.21823,1.22048,1.21773,1.22028
"22",2021-05-20 08:00:00,1.22029,1.22048,1.21813,1.22021
"23",2021-05-20 12:00:00,1.22022,1.22265,1.21964,1.22245
"24",2021-05-20 16:00:00,1.22246,1.22281,1.22123,1.22281
"25",2021-05-20 20:00:00,1.22283,1.22302,1.22235,1.22251
"26",2021-05-21 00:00:00,1.22253,1.22393,1.2224,1.22321
"27",2021-05-21 04:00:00,1.22323,1.22399,1.221,1.22167
"28",2021-05-21 08:00:00,1.22168,1.2238,1.21848,1.21868
"29",2021-05-21 12:00:00,1.21869,1.22101,1.21707,1.21774
"30",2021-05-21 16:00:00,1.21773,1.21872,1.21609,1.21858
"31",2021-05-21 20:00:00,1.21858,1.2188,1.21785,1.21796
"32",2021-05-23 20:00:00,1.21813,1.21845,1.21724,1.21808
"33",2021-05-24 00:00:00,1.21809,1.21873,1.21753,1.21814
"34",2021-05-24 04:00:00,1.21815,1.21997,1.21789,1.21979
"35",2021-05-24 08:00:00,1.21978,1.22194,1.21751,1.22093
"36",2021-05-24 12:00:00,1.22094,1.223,1.22036,1.22097
"37",2021-05-24 16:00:00,1.22096,1.22178,1.22048,1.22163
"38",2021-05-24 20:00:00,1.22162,1.22192,1.22128,1.22143
"39",2021-05-25 00:00:00,1.22142,1.22302,1.22117,1.22267
"40",2021-05-25 04:00:00,1.22266,1.22624,1.22205,1.2256
"41",2021-05-25 08:00:00,1.22559,1.2262,1.22443,1.22559
"42",2021-05-25 12:00:00,1.2256,1.22665,1.22307,1.22328
"43",2021-05-25 16:00:00,1.22329,1.22571,1.22268,1.22475
"44",2021-05-25 20:00:00,1.22474,1.22552,1.2246,1.2247
